time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,0.71780765914,-0.303648853109,-0.813888931255,-0.912946852393,-2.5761780345,-0.525475106472,1.29426166408
0.5,0.73956926652,-0.325978888237,-0.81424330896,-0.87850793107,-2.55537357592,-0.531537273684,1.30518818579
1.0,0.756782447019,-0.360442281804,-0.81806953445,-0.873041902807,-2.54837364515,-0.544052386091,1.31749184844
1.5,0.756699985632,-0.389913713407,-0.770727538581,-0.941092072635,-2.62863063144,-0.55035957493,1.34366807766
2.0,0.775630412173,-0.442996293482,-0.7452805666,-0.985506745318,-2.69702595603,-0.572268362644,1.37362889573
2.5,0.801606306111,-0.508800765284,-0.809905028576,-0.997045008297,-2.66713166636,-0.610734573309,1.36142107345
3.0,0.844511065434,-0.57907585238,-0.81569426903,-0.968926532087,-2.63000004671,-0.621021426512,1.36720293427
3.5,0.902029303034,-0.636122444861,-0.74770579726,-0.924046126826,-2.65444500424,-0.607611366523,1.39558979827
4.0,0.974936874029,-0.686024550736,-0.675224028514,-0.865040524484,-2.72031610252,-0.603282544221,1.42718080787
4.5,1.06165418631,-0.739804477201,-0.627160014543,-0.786878358547,-2.78627375555,-0.616149888303,1.46583767897
5.0,1.12058902302,-0.767164109135,-0.605781589451,-0.738693775199,-2.8207851835,-0.619987881079,1.47569203893
5.5,1.17159380973,-0.779527556448,-0.571542313018,-0.699191208765,-2.85933057243,-0.614852134939,1.48844493181
6.0,1.25110476887,-0.800131940744,-0.472331247154,-0.625592533567,-2.94514567889,-0.61069138223,1.54746315432
6.5,1.32090606727,-0.814584413371,-0.380677306476,-0.55301168211,-3.00959587926,-0.604285649534,1.59679560492
7.0,1.37252970411,-0.800090915083,-0.26076011443,-0.532638051231,-3.07330630641,-0.594240590085,1.63349554361
7.5,1.45102897259,-0.719806370373,-0.0904331654372,-0.59018691967,-3.15822821148,-0.641410575736,1.65473749096
8.0,1.52579293518,-0.624514473307,-0.00886329016346,-0.641896127959,-3.14113439833,-0.713403868751,1.64210597067
8.5,1.55897384539,-0.585031038417,-0.0232191516326,-0.619914870135,-3.12094598636,-0.733725108035,1.63077214722
9.0,1.56393961439,-0.577251611952,-0.114122925022,-0.554417689189,-3.08821476883,-0.727827795868,1.60811650062
9.5,1.57620623359,-0.565197899392,-0.151824529493,-0.46881444152,-3.06797993614,-0.708871710295,1.58156432225
10.0,1.58699014966,-0.539545933145,-0.127083062037,-0.398921457201,-3.06694177046,-0.677351918654,1.55089098316
10.5,1.60207124265,-0.494763288348,-0.0928815612127,-0.355061758365,-3.05823511146,-0.669143172957,1.50871290179
11.0,1.61159469982,-0.446478114681,-0.0548661243,-0.335870524651,-3.04437012381,-0.662715702656,1.46778648778
11.5,1.58293832065,-0.428622326519,-0.0916603632725,-0.323475293961,-3.02169902187,-0.630458096934,1.42906775233
12.0,1.5634391095,-0.418232865936,-0.127276271012,-0.297393953514,-3.00765510412,-0.609001385693,1.39565598903
12.5,1.56598543129,-0.397958859653,-0.0833843781838,-0.290341940911,-3.02254290694,-0.602282275556,1.37733052453
