time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,0.717264755059,-0.303160817612,-0.814085305062,-0.913562366657,-2.57614231768,-0.525376884247,1.29417709908
0.5,0.733960525457,-0.320936994419,-0.8162720464,-0.884866807805,-2.55500458559,-0.530522540057,1.30431454495
1.0,0.738648703337,-0.344141224374,-0.824628689938,-0.893600926575,-2.54718065443,-0.540771628558,1.31466726109
1.5,0.718303236649,-0.35539753069,-0.784616024667,-0.984624157835,-2.6261045692,-0.543412833778,1.33768724031
2.0,0.710696913306,-0.384625296699,-0.768767659111,-1.05912471246,-2.6927540824,-0.560520591786,1.36351458382
2.5,0.706237278315,-0.423070205377,-0.844400954679,-1.10516907488,-2.66085748675,-0.593480405506,1.34656599694
3.0,0.717419784531,-0.46482904791,-0.861664449661,-1.11301551397,-2.62163890953,-0.598028067581,1.34740666765
3.5,0.744296949342,-0.494331306689,-0.804759158743,-1.10287424227,-2.64406803867,-0.579074423644,1.37102075068
4.0,0.78947885243,-0.51930983844,-0.742306039899,-1.07530245059,-2.7081151085,-0.569729472547,1.39829309491
4.5,0.852564249648,-0.551846208621,-0.7027899247,-1.02393282743,-2.77251805468,-0.578321329741,1.43326896062
5.0,0.892490776584,-0.562118605021,-0.688286994355,-0.997298801953,-2.80577895558,-0.578720338454,1.44016250717
5.5,0.929086896401,-0.56152959693,-0.659259476074,-0.97413197568,-2.84337642079,-0.570977775803,1.45067104615
6.0,0.998352943003,-0.572924470454,-0.563754096996,-0.912148408991,-2.92851753043,-0.564963513163,1.50809347846
6.5,1.06138083197,-0.581288088072,-0.474550165891,-0.847246870081,-2.99252211875,-0.557332335,1.55637087463
7.0,1.10889841266,-0.563103512069,-0.356118175204,-0.831528455884,-3.05596241487,-0.546544407729,1.59243123694
7.5,1.18516069528,-0.480808062407,-0.186600366251,-0.891613493703,-3.14073715213,-0.593309677821,1.61332474206
8.0,1.2588480987,-0.384548408598,-0.105419893136,-0.944543244522,-3.12357251383,-0.665108199716,1.60052553245
8.5,1.29154300995,-0.344628092213,-0.119951545265,-0.923112985127,-3.10335212875,-0.68534151205,1.58911600778
9.0,1.29620078099,-0.336571795594,-0.21096672458,-0.857964995029,-3.07060064851,-0.679388476882,1.56641238612
9.5,1.30807680848,-0.324166966462,-0.248809609959,-0.772804578384,-3.0503401194,-0.660361725442,1.53979936757
10.0,1.31825743558,-0.297972682625,-0.224286358126,-0.703595569339,-3.04926226429,-0.628732786741,1.50903205768
10.5,1.33249277629,-0.252429761483,-0.190390774312,-0.660694737099,-3.04049996456,-0.620371027512,1.46672223842
11.0,1.34096604959,-0.203200540735,-0.152755199357,-0.6426941431,-3.02656588695,-0.613753557908,1.4256322434
11.5,1.31113064964,-0.184284889501,-0.189975901872,-0.631635620178,-3.00381721907,-0.581282643707,1.38672985876
12.0,1.29041179005,-0.17279904421,-0.226032968585,-0.606937048877,-2.98969306256,-0.559605273628,1.35312811795
12.5,1.2917804127,-0.151466362914,-0.182567061253,-0.601220245653,-3.00450338638,-0.552673094121,1.33461921013
