time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,-0.153324806088,-0.892654798101,-0.803850989282,-0.228257199467,3.0578517522,0.922421671058,1.32190462386
0.5,-0.116297939514,-0.91142430253,-0.71871201526,-0.227912125761,3.03010022019,0.898468127498,1.32657858033
1.0,-0.049722049535,-0.930294974874,-0.585408855465,-0.240169944361,2.98290631503,0.857639990006,1.33578566224
1.5,0.022245512114,-0.927181811378,-0.491673420092,-0.275814995032,2.91852238879,0.805793574023,1.34860627966
2.0,0.100426239315,-0.925258299138,-0.385759125201,-0.293777849083,2.84206022841,0.743763908584,1.36330144622
2.5,0.142515200609,-0.888484895417,-0.326199141146,-0.29977321481,2.82639339376,0.721016713321,1.37343034676
3.0,0.193089166854,-0.833403671303,-0.255769088333,-0.342217638414,2.81264821317,0.694598232124,1.39101374844
3.5,0.270784664228,-0.782815147185,-0.188573105846,-0.408457391334,2.74403410774,0.630280851673,1.41720388928
4.0,0.359108840949,-0.731015572925,-0.156859957342,-0.490375916634,2.63965304568,0.541943555413,1.44717164971
4.5,0.446210808193,-0.679177825212,-0.119537177617,-0.568183053332,2.53595734951,0.452709018016,1.47390024873
5.0,0.526879968405,-0.63973560871,-0.0183347337527,-0.618477254608,2.46111308395,0.38065935822,1.49548148904
5.5,0.604140577916,-0.618704357299,0.0901983314683,-0.64737054565,2.37971550101,0.308259603279,1.51896102471
6.0,0.673596677481,-0.608835140159,0.181227982933,-0.66386017692,2.29295401698,0.236561587554,1.5449975699
6.5,0.720961507593,-0.596359796491,0.259269310759,-0.660536354681,2.24196675946,0.189940941383,1.56679418222
7.0,0.781910229555,-0.587640671638,0.354102958457,-0.675481296656,2.18122180896,0.13675914114,1.58631854963
7.5,0.841442603894,-0.575516450612,0.431104975213,-0.697851555977,2.12406954924,0.0874475747959,1.59467327343
8.0,0.934377910019,-0.572686731543,0.577029038973,-0.74834856762,2.05640465907,0.0222681458253,1.6022902852
8.5,1.04576818848,-0.567632174131,0.747027974096,-0.81608208607,1.9818531462,-0.0518449680567,1.61011874677
9.0,1.08171456842,-0.543477532751,0.773894442115,-0.827776439653,1.95363392901,-0.0796880675495,1.60541888219
9.5,1.0650670726,-0.501645504481,0.714991733873,-0.836075236228,1.97672141038,-0.0737132085328,1.61502207384
10.0,1.04771411556,-0.46323490966,0.655827398885,-0.851209097769,1.99677413153,-0.069334677576,1.63087962631
10.5,1.05872510768,-0.462267934695,0.693151637484,-0.835892865476,1.98330987057,-0.0838947131661,1.64166992116
11.0,1.06960418273,-0.448620125773,0.711015152939,-0.843703159218,1.9785939165,-0.0935268315974,1.65431308875
11.5,1.09386998516,-0.431256445461,0.734673736712,-0.869345213379,1.96760726166,-0.108138372535,1.66495716682
12.0,1.1395077985,-0.421958625684,0.771503519143,-0.89315937976,1.93033431952,-0.137252714848,1.66781413024
12.5,1.17880219838,-0.403290045742,0.771884547493,-0.898313306771,1.89506167527,-0.161836532616,1.65679406475
13.0,1.2192154134,-0.36804447653,0.755271826447,-0.913152166835,1.87193813411,-0.179545464114,1.63400305013
13.5,1.25574082831,-0.335770244906,0.725273020209,-0.902837369082,1.84924866647,-0.194324662811,1.59908844351
14.0,1.2667331938,-0.300198344826,0.664610549787,-0.857604825722,1.85261932642,-0.189249673604,1.55463560774
14.5,1.28571111354,-0.261379307629,0.60954171425,-0.839576729511,1.85421439421,-0.184867257599,1.51279533079
15.0,1.30968393741,-0.235297896518,0.570315020259,-0.828288041383,1.84485161873,-0.18746544453,1.47898957291
15.5,1.35132118569,-0.232291829379,0.592456327865,-0.827651576478,1.81755394628,-0.202722899833,1.45487155642
16.0,1.37452364822,-0.230994480229,0.592051248225,-0.816584663583,1.79903782115,-0.212045105415,1.43562636813
16.5,1.38716829424,-0.237740260926,0.561183530304,-0.791272447661,1.77095806876,-0.227118756872,1.41937441514
17.0,1.43515847499,-0.293213031874,0.536826415932,-0.741105901878,1.65455195195,-0.299935563149,1.40896596195
17.5,1.49949905028,-0.384322808415,0.515150343772,-0.628657014984,1.49203477943,-0.403723995978,1.3946454038
18.0,1.59168932607,-0.454586698849,0.523884777445,-0.594648688522,1.33556617968,-0.524229028564,1.40033205691
18.5,1.68273929969,-0.490466459872,0.541102258594,-0.657999014213,1.19917367357,-0.635133232941,1.43165810331
