time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0,-1.09979966354,-0.0806279779636,-0.461054598966,2.09393790622,0.918233520661,2.75095577986,2.45152164081
0.5,-1.09878338857,-0.0834906516564,-0.466599908889,2.09663299701,0.918853098289,2.75085586558,2.4520871731
1.0,-1.09634430945,-0.0939345717497,-0.488559923613,2.10812402174,0.920583619208,2.75140638863,2.45480638772
1.5,-1.08955800568,-0.109348225963,-0.519951640325,2.12397312575,0.921043220111,2.75077639224,2.45769846486
2.0,-1.07313992009,-0.120275460679,-0.537256059957,2.13002445559,0.915020068391,2.74475575219,2.45546850542
2.5,-1.05220560881,-0.125848873268,-0.544806560924,2.12503669982,0.910473383176,2.73579777834,2.44766229223
3.0,-1.04159262929,-0.132919715638,-0.572477881462,2.11937301977,0.927802817937,2.73254304472,2.43815761529
3.5,-1.03830933551,-0.145905345012,-0.61681113076,2.11631544124,0.960589840773,2.73221478688,2.43100276437
4.0,-1.02304492073,-0.167297494343,-0.643971780586,2.11289936852,0.977792889008,2.72152041298,2.43064525839
4.5,-0.99021549698,-0.193193357852,-0.649581085124,2.1051980863,0.96842178807,2.69617268609,2.43473961996
5.0,-0.946269020959,-0.213705105141,-0.655669222636,2.08815835814,0.938879053792,2.65970407888,2.43467981132
5.5,-0.898971179756,-0.228561603376,-0.672086093982,2.06208786514,0.90314150872,2.61887859797,2.42991325785
6.0,-0.857650438408,-0.246185908869,-0.698220352932,2.03209209277,0.882723606043,2.58369937582,2.42715832236
6.5,-0.82526604587,-0.267924796767,-0.732130524643,1.99993065479,0.885727522827,2.55811048218,2.42734812298
7.0,-0.799222431921,-0.288788973029,-0.770678326741,1.96436460048,0.908700753475,2.54083858558,2.42622766144
7.5,-0.77738227311,-0.306618132264,-0.808765254619,1.92113333046,0.946637320786,2.52937334164,2.42574636336
8.0,-0.757968024236,-0.32168564436,-0.839264210066,1.8628817749,0.993038063228,2.52001377349,2.4336341758
8.5,-0.739099611989,-0.335895272765,-0.86700873343,1.79736777585,1.0409068537,2.5100626906,2.44628572228
9.0,-0.718718225102,-0.352728112775,-0.907999704518,1.74642444739,1.08246804046,2.49759473782,2.44963371649
9.5,-0.694921555341,-0.372675094247,-0.962903056416,1.71734536765,1.11338504319,2.48105861243,2.43917654989
10.0,-0.665813501391,-0.393563901577,-1.01863636286,1.70477586767,1.13212307035,2.45911496678,2.41874593485
10.5,-0.634840395075,-0.414949394474,-1.07127221496,1.70080550949,1.14776671759,2.43567796032,2.3946567766
11.0,-0.610481248662,-0.437950689376,-1.12504672522,1.69487581137,1.17953991713,2.41963892692,2.37577036811
11.5,-0.591303558686,-0.465422483089,-1.17648619559,1.68314850923,1.22309757454,2.40917499248,2.36819394458
12.0,-0.566818165647,-0.502017324781,-1.2149230844,1.66764606909,1.2525177396,2.39265586788,2.37597524942
12.5,-0.536308660725,-0.546499058692,-1.24274621291,1.64883474002,1.26431646825,2.36887384304,2.39731662502
13.0,-0.507865178081,-0.592309452735,-1.27429923275,1.62573814146,1.27510273444,2.3459771771,2.42517136897
13.5,-0.483798534194,-0.634203804547,-1.31388090592,1.6015680978,1.29177875894,2.32715991398,2.4500144111
14.0,-0.461316741369,-0.66784025292,-1.35698813698,1.58350191201,1.31282747315,2.31130517616,2.45954932826
14.5,-0.439892633101,-0.693573873973,-1.40081785209,1.56792669031,1.33688636894,2.29769281245,2.45639267116
15.0,-0.421050580331,-0.715988736391,-1.44402933963,1.54121189101,1.36270997272,2.28595068842,2.45676963179
15.5,-0.406253050111,-0.730452069689,-1.49721322924,1.51267611422,1.39191362642,2.27779269836,2.45063759983
16.0,-0.397034829499,-0.723589552926,-1.58258343251,1.51303408125,1.42886630944,2.27697053901,2.40337963847
16.5,-0.391862653443,-0.702756164272,-1.68834236178,1.53725470808,1.47185041359,2.28157091739,2.32646654162
17.0,-0.386381206608,-0.694430459988,-1.77136928408,1.54771624856,1.51360321188,2.2844842962,2.27364000603
17.5,-0.375273928873,-0.705267623518,-1.81720167141,1.53801523362,1.54605245782,2.28051190796,2.25672189419
18.0,-0.352008726222,-0.72440647337,-1.8363991807,1.52966453151,1.55987753424,2.26585051616,2.25030640607
18.5,-0.317563780947,-0.747130945676,-1.83455191053,1.5169672534,1.55357125804,2.23996247923,2.25362909672
