time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
17.0,79.0706308471,13.0282265302,81.3537653672,-94.8839309874,-19.9634038868,-93.682714166,8.08910175658
17.5,73.8378850225,12.1028419399,75.9294037269,-88.6018903828,-18.511500098,-87.4207981905,7.66200994622
18.0,68.7618202091,11.2052971338,70.6667448682,-82.5072933913,-17.1032977091,-81.3462809822,7.24736040629
18.5,63.8728799248,10.3409468412,65.5974907896,-76.6368205138,-15.7471999492,-75.4956140784,6.84770936072
19.0,58.4413224658,9.38091125846,59.9643467887,-70.1137192998,-14.240963002,-68.9954341861,6.40306946331
19.5,52.0029855003,8.24321012697,53.2856283965,-62.3803223248,-12.4559488716,-61.2902277794,5.87528958204
20.0,45.3396082659,7.06587208476,46.3727374046,-54.3759932159,-10.608770778,-53.3156122063,5.32870757873
20.5,38.9190684491,5.93150416091,39.7113412854,-46.6629828156,-8.82906004513,-45.6315670544,4.80184593504
21.0,33.0002114755,4.88580297802,33.5701625043,-39.5523790663,-7.18852013225,-38.5478959149,4.31603186112
21.5,27.7056274904,3.95040595804,28.076505677,-33.1915477495,-5.72109678024,-32.211327431,3.88138211125
22.0,23.0716788955,3.13172529926,23.2681764013,-27.6242407988,-4.43684280999,-26.665389427,3.50091730667
22.5,19.0824725133,2.42694681105,19.1287384169,-22.8314146644,-3.33133299981,-21.8910676765,3.17335610708
23.0,15.6925755976,1.82804108442,15.6110894215,-18.7585246966,-2.39195924925,-17.8339930866,2.89498380034
23.5,12.8419021359,1.32439206214,12.6529113189,-15.3334122365,-1.60205573376,-14.4222581212,2.66087702549
24.0,10.4652041878,0.904472950543,10.1865215623,-12.4777096445,-0.94352887728,-11.5777764075,2.46568481589
24.5,8.49788886573,0.556873306673,8.14491116952,-10.1138305112,-0.398469028253,-9.22324477669,2.30410743744
25.0,6.87936913395,0.270890646883,6.46522322142,-8.1689966392,0.0499213064086,-7.28615370762,2.17117236802
25.5,5.55479039435,0.036835255204,5.09054562703,-6.57731341074,0.416849316392,-5.70085385969,2.06237665529
26.0,4.47571432188,-0.15384913188,3.9706215947,-5.28059216618,0.715742682849,-4.4093746015,1.97374347138
26.5,3.60015707673,-0.308578638521,3.0618899564,-4.2283967503,0.958239254263,-3.36146982799,1.90182552628
27.0,2.89224938966,-0.433689325694,2.32713296357,-3.37763563374,1.15428147288,-2.51421121294,1.84367734252
27.5,2.32169551588,-0.53453277682,1.73491525285,-2.69191228205,1.31226650384,-1.83134073061,1.7968109518
28.0,1.8631454172,-0.615586999547,1.25893267726,-2.14077118843,1.43922037832,-1.28251931649,1.75914442314
28.5,1.49555163967,-0.680570024537,0.87734518375,-1.69892544999,1.54097634915,-0.842557202305,1.72894910468
29.0,1.20155336468,-0.732548701064,0.572137832006,-1.34551693594,1.6223456912,-0.490676765455,1.70479907654
29.5,0.966910846263,-0.774038591102,0.328534054584,-1.06343694741,1.6872745175,-0.209835675415,1.68552472772
30.0,0.780000925304,-0.807093074653,0.134472261965,-0.838720222452,1.73898365174,0.0138768666304,1.67017133945
30.5,0.6313764195,-0.833381172616,-0.0198512954871,-0.660015656099,1.78009078477,0.191767444411,1.65796290798
31.0,0.513387434837,-0.854254432716,-0.142375430502,-0.518131393633,1.81271545926,0.332991637526,1.64827104858
31.5,0.419859986022,-0.870803693382,-0.239507468493,-0.405648760086,1.83856816294,0.444938646434,1.64058860354
32.0,0.345826024096,-0.883906768054,-0.316403364311,-0.316597939183,1.85902516806,0.533554394353,1.63450747022
