time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,-0.670834087239,-0.771239908461,1.42645613715,1.46348504294,0.497483854228,-0.00915887482401,-1.27236671969
0.5,-0.653992614697,-0.767432779206,1.42501188269,1.47512320936,0.493410932475,-0.033319131874,-1.26989112955
1.0,-0.636990842273,-0.768544254116,1.41820283659,1.49314236722,0.478604843037,-0.0569723884134,-1.2554462252
1.5,-0.59231585385,-0.772817525598,1.41449235105,1.51657911629,0.456449404827,-0.0244950660566,-1.23633542952
2.0,-0.496596733618,-0.754828134722,1.42419221998,1.57770994298,0.430249964581,-0.109920100529,-1.23192048654
2.5,-0.44669910709,-0.723508290099,1.48395097391,1.71901435548,0.403809637576,-0.35997581169,-1.23195739309
3.0,-0.42263470885,-0.698758825359,1.52748552446,1.87254010228,0.377729465656,-0.584329789634,-1.22962291684
3.5,-0.335926696072,-0.677563659668,1.5226314685,1.93470442646,0.352796231749,-0.708016925401,-1.22657433051
4.0,-0.246773512441,-0.657090358874,1.51923809415,1.92724711111,0.333402593549,-0.72517410189,-1.22261533915
4.5,-0.184980640389,-0.641091430997,1.51404191746,1.9146403965,0.31805209822,-0.726897449505,-1.22141959786
5.0,-0.115892999444,-0.6292172415,1.51139866178,1.9477708138,0.304846086682,-0.85495967102,-1.22034797832
5.5,-0.0457843464056,-0.642403315864,1.51020418485,1.98797794708,0.295821003164,-0.961405879781,-1.18372100056
6.0,0.0287957625234,-0.729165340354,1.48486096794,1.98957900405,0.405531992977,-0.972959569152,-1.12789272784
6.5,0.124267154853,-0.845225486648,1.41985088681,1.94210005679,0.546451416035,-0.978813590795,-1.08509444093
7.0,0.237767888544,-0.908165804679,1.34609782326,1.88057728523,0.643460007813,-1.01639037826,-1.08516464621
7.5,0.308344970017,-0.912051840092,1.30006379923,1.87279420174,0.674940909207,-1.08817231592,-1.10763124616
8.0,0.297981837724,-0.891405850556,1.29586297312,1.8922172524,0.634599060574,-1.10281226014,-1.11292460854
8.5,0.268546358294,-0.873604059173,1.3109187914,1.90219187797,0.613133099992,-1.08310360703,-1.11454258545
