time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,0.244733414122,-1.31643618497,-0.130525870389,1.69121466765,-0.949577985591,-0.702856041027,0.874609309536
0.5,0.265710267218,-1.30305251322,-0.150291804289,1.74256283023,-0.920680380545,-0.779246451264,0.853051565671
1.0,0.287382221708,-1.27702114974,-0.1712201415,1.8662490313,-0.7815129388,-0.912262604043,0.680703501015
1.5,0.306754565417,-1.19019422658,-0.170615235894,1.96233842096,-0.676415760289,-1.00900900507,0.486960039254
2.0,0.321150261117,-1.07388091668,-0.17042484339,1.96844014536,-0.655662129192,-1.08396342388,0.454455006641
2.5,0.329328803977,-0.987330730716,-0.181762684009,1.94527927755,-0.628636391626,-1.13246673914,0.411098662176
3.0,0.3347983197,-0.894054332368,-0.186163700945,1.93140592537,-0.605974405703,-1.19051142644,0.317618623726
3.5,0.339703870849,-0.79582309459,-0.181394854705,1.92274692847,-0.580180712164,-1.26912878355,0.222957241525
4.0,0.354875007747,-0.727038754623,-0.169755677788,1.90999226686,-0.564252974096,-1.29288060737,0.158370247828
4.5,0.427855842162,-0.72165502951,-0.155966666851,1.91270832486,-0.495632011356,-1.26892102175,0.15838057099
5.0,0.543135541303,-0.751524142382,-0.154560649024,1.9783116334,-0.409407234803,-1.25066385653,0.130079616069
5.5,0.654018614866,-0.767810645671,-0.155603395756,2.05127577874,-0.365894138245,-1.28481566677,0.104731280514
6.0,0.77504812071,-0.775459814177,-0.15418218094,2.07628172557,-0.248800833138,-1.3043191178,0.0915154663676
6.5,0.916416478387,-0.779772243706,-0.153868826614,2.10064783931,-0.0408020973914,-1.29419584411,0.0513740171064
7.0,1.07656008491,-0.781901869388,-0.153721643576,2.10830939316,0.13113516792,-1.29481170876,0.0138537028159
7.5,1.2063124701,-0.780433110288,-0.153860806886,2.05983912732,0.24314222558,-1.27066546701,-0.0169972530969
8.0,1.28958923711,-0.758216673729,-0.152887137866,1.97113495811,0.383553938901,-1.18388761907,-0.0525031563476
8.5,1.32994239304,-0.716997148261,-0.152881578178,1.88165671886,0.497399498018,-1.09202944731,-0.0996476493686
9.0,1.32645657878,-0.693318719371,-0.154509106744,1.83852453975,0.51373483437,-1.05940665584,-0.122575761609
9.5,1.30950398103,-0.693658709514,-0.155281273129,1.83810977182,0.493405170975,-1.05945522504,-0.119410362528
