time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,0.297753978213,-0.922787104815,-0.443309054236,1.0301741096,-1.29669103108,-0.910742425412,1.50742309246
0.5,0.316584879137,-0.925335970049,-0.450415414172,1.10827720105,-1.25374438663,-0.978718850515,1.46025286908
1.0,0.334056715842,-0.930488214877,-0.446566078119,1.2843288994,-1.0870797709,-1.09526691557,1.23777534107
1.5,0.347952413037,-0.884322437044,-0.413652898118,1.44869906897,-0.946128287878,-1.17054013423,0.978666724167
2.0,0.356420444674,-0.812018834443,-0.378493552143,1.52870469137,-0.886567647442,-1.2222529925,0.875413528374
2.5,0.358821825924,-0.768360956266,-0.35575029549,1.57757131329,-0.821720204366,-1.24810484677,0.763105305404
3.0,0.359019839001,-0.714222620723,-0.329053239267,1.62942108401,-0.764546942133,-1.28548069276,0.606708555526
3.5,0.359323396861,-0.650158700023,-0.297135943411,1.67813801783,-0.708625091094,-1.34605426324,0.457121224651
4.0,0.370599622093,-0.610291977614,-0.262519589752,1.71394365779,-0.667198291031,-1.35453467081,0.346047479472
4.5,0.440356840229,-0.628841864005,-0.229713561922,1.7568505576,-0.577473077837,-1.3179357264,0.307583130653
5.0,0.553012003033,-0.678196743065,-0.212824667861,1.85517560334,-0.474066084976,-1.28938811295,0.247957673692
5.5,0.661784288078,-0.710154712179,-0.201415280895,1.95445627027,-0.416734157118,-1.31526380995,0.197416545691
6.0,0.78113173941,-0.730292227856,-0.190071154566,2.0004334435,-0.288628840455,-1.32817215515,0.1641249874
6.5,0.921168987298,-0.744487429343,-0.181905210119,2.04139533612,-0.0719156449398,-1.31282978192,0.108096407637
7.0,1.0802647524,-0.754396712187,-0.175576516546,2.0621209848,0.106881589381,-1.3093372036,0.0580698421525
7.5,1.20919558509,-0.759027537145,-0.170869111127,2.02389352824,0.224267156238,-1.28196976678,0.0174134502404
8.0,1.29183018138,-0.7415788717,-0.166107096842,1.94319570334,0.368883008818,-1.19267405522,-0.0257569222727
8.5,1.33168254378,-0.704077467921,-0.163147215657,1.85996117039,0.486007144229,-1.09885234051,-0.0788785120776
