time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,0.592578967168,-1.20498955358,-0.479064900173,1.45792791182,-1.02841814096,-0.65725226764,1.62067427294
0.5,0.607799660295,-1.19626206314,-0.480900997748,1.53608799333,-0.948399423459,-0.715427616443,1.46893998002
1.0,0.631166275344,-1.1721352079,-0.481386784388,1.6929270321,-0.769391405436,-0.847584198907,1.19306981383
1.5,0.649760801331,-1.07109176602,-0.474567917268,1.77791851116,-0.631709969425,-0.969232405135,0.968398868139
2.0,0.661680990482,-0.92517880515,-0.465574001948,1.77545225567,-0.5429426978,-1.06321422697,0.7849315415
2.5,0.665056029145,-0.826605876303,-0.455619588929,1.73047414491,-0.471863123116,-1.10198073137,0.656177599695
3.0,0.667647323844,-0.745689571742,-0.445076555707,1.68427062609,-0.462629524702,-1.08815990538,0.566130440689
3.5,0.677753062971,-0.675061888628,-0.434438211048,1.66215703303,-0.429711497133,-1.0933402758,0.460128800796
4.0,0.689179885737,-0.608102149209,-0.418364195188,1.63366487928,-0.37181789545,-1.09028342418,0.362828665719
4.5,0.708174716752,-0.579441069134,-0.387441683275,1.61946476284,-0.349612659906,-1.06238276136,0.313561949731
5.0,0.757838555764,-0.59983982647,-0.36430760965,1.6506018867,-0.356766426169,-1.04181249628,0.293029334577
5.5,0.849624884683,-0.626234231418,-0.362231639702,1.71044128729,-0.3338076568,-1.03080845974,0.258117859655
6.0,0.958159622776,-0.649125444347,-0.363002532933,1.76800428166,-0.245824402129,-1.08261077135,0.22567918558
6.5,1.06292583157,-0.664838099228,-0.366346567809,1.82229635456,-0.108396583193,-1.14588965252,0.185326871541
7.0,1.17458888955,-0.673261624269,-0.368954419539,1.8435720045,0.0368584015084,-1.11165429835,0.121908441668
7.5,1.29634388354,-0.675712168348,-0.371814092443,1.82405686701,0.181280187835,-1.0148714253,0.0633425086586
8.0,1.37918701388,-0.671742834822,-0.373135710422,1.7754651284,0.313849651149,-0.911268768789,-0.00659939416039
8.5,1.3794753097,-0.641263628864,-0.373548102332,1.73587773559,0.353077834082,-0.889450583845,-0.0818812213518
9.0,1.34397136972,-0.604604330882,-0.375043682794,1.72480205083,0.311426852558,-0.926151815032,-0.292031707075
9.5,1.31119035818,-0.598340180265,-0.376115394583,1.70521023793,0.266388343016,-0.918904118086,-0.659042697146
10.0,1.28332449007,-0.617580802701,-0.375473017847,1.68951749888,0.211586901533,-0.884372444656,-0.961039524581
10.5,1.27065298609,-0.649563172318,-0.373441193057,1.7175165817,0.138695971573,-0.895959959966,-1.26991846043
11.0,1.274093132,-0.661897442861,-0.371628967663,1.78557773172,0.0733246043532,-0.906803829278,-1.57213584751
