time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,0.644563593372,-1.12660137698,-0.408405312716,1.50200575927,-0.817471867656,-0.620169536932,0.942840238099
0.5,0.658227884021,-1.11995557485,-0.412858111957,1.57644992987,-0.740731322879,-0.679405184924,0.78580444924
1.0,0.677867874604,-1.10081307984,-0.41960928598,1.72439165272,-0.569572507637,-0.814100530305,0.497240468462
1.5,0.690663758108,-1.00752532228,-0.422539386534,1.79553887285,-0.444104462355,-0.939699061724,0.252817896811
2.0,0.695330189188,-0.871314262828,-0.425740851971,1.77575426997,-0.370615418667,-1.03862250624,0.0446424567445
2.5,0.690817834101,-0.783290723122,-0.429047119693,1.71194500664,-0.316148667067,-1.08276229764,-0.110977920021
3.0,0.685681300079,-0.712710389477,-0.43149649851,1.64729129674,-0.323191807899,-1.07420605496,-0.227347995613
3.5,0.688840219433,-0.651374077809,-0.432537494594,1.60859217148,-0.304905519477,-1.08411894636,-0.357012240358
4.0,0.69448823527,-0.592143492657,-0.426179097882,1.56630311618,-0.259183529886,-1.08499890696,-0.473996436533
4.5,0.7090246391,-0.569445558943,-0.402752316675,1.54145850484,-0.246368856601,-1.06013554766,-0.538449670122
5.0,0.755508583465,-0.594097425368,-0.384964440924,1.56500363024,-0.260220275963,-1.0417315858,-0.569813801415
5.5,0.845217755136,-0.623270028135,-0.386380691598,1.61988381789,-0.241636519048,-1.03214261264,-0.611800593213
6.0,0.952531658802,-0.647794107112,-0.389204112713,1.67453207006,-0.15622464689,-1.0847766177,-0.648397734559
6.5,1.05667121894,-0.664344904569,-0.39360170064,1.7273280193,-0.0201167066844,-1.14848240327,-0.69088457058
7.0,1.16806423117,-0.673129615801,-0.396663566788,1.74795893501,0.124569494154,-1.11443101777,-0.755222843791
7.5,1.28971669865,-0.675717289095,-0.399695612396,1.72819901547,0.268775334007,-1.0177179909,-0.814138007745
8.0,1.37249336101,-0.671836856478,-0.401128979649,1.67944858458,0.401204799161,-0.914160615697,-0.884306317084
8.5,1.37267510431,-0.641500164519,-0.401720512987,1.63960679763,0.440208555844,-0.892415019658,-0.959951088804
9.0,1.33699405764,-0.605077746738,-0.403513854076,1.62810827063,0.398184543349,-0.92923690478,-1.1707048442
9.5,1.30396750313,-0.599142009844,-0.404998384983,1.60793022389,0.352628858927,-0.922156483982,-1.53855221501
10.0,1.27580897852,-0.618774060345,-0.404848036983,1.59153876745,0.297211009696,-0.88782418279,-1.84154590364
10.5,1.26282669756,-0.651172094174,-0.403338705992,1.61879587023,0.22366550572,-0.899623414918,-2.15148342358
11.0,1.26596606229,-0.663908659538,-0.402032168949,1.6861389052,0.157660618151,-0.910672191406,-2.45472534654
