time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,0.644875158439,-1.12056747133,-0.408414915748,1.49586195224,-0.816621465745,-0.61957308189,0.94258949224
0.5,0.66137988361,-1.05891256911,-0.412955262629,1.51429508866,-0.732128091124,-0.673371048724,0.783267737242
1.0,0.687820963844,-0.90805719062,-0.419916059279,1.52812491353,-0.542406027759,-0.795046499876,0.489230276779
1.5,0.711199369878,-0.609823662826,-0.423172333472,1.39059348733,-0.388053494612,-0.900386024122,0.236290948982
2.0,0.729103909437,-0.217237591567,-0.4267818228,1.10976426588,-0.278431668535,-0.97396665138,0.0174615517496
2.5,0.738986047943,0.149556020974,-0.430531756421,0.76210741999,-0.184675836821,-0.990549860868,-0.149743434585
3.0,0.747952801339,0.49326680102,-0.433415825604,0.419348473951,-0.15322473083,-0.954994516589,-0.277463758613
3.5,0.763789666778,0.800129774035,-0.4348475803,0.130650672111,-0.100334596414,-0.940636956404,-0.4173311449
4.0,0.779984005259,1.06360506655,-0.428814241478,-0.119603197501,-0.0258269248134,-0.921327210299,-0.54280296375
4.5,0.802657038702,1.24388053609,-0.405638246799,-0.304895457179,0.00919628888826,-0.880887221021,-0.613804512268
5.0,0.854944290797,1.33161807108,-0.388029240123,-0.395786790372,0.0111847197343,-0.851373502241,-0.649839113823
5.5,0.948444274446,1.37585999479,-0.389562330892,-0.415658299174,0.0401153161904,-0.834527460949,-0.694876730329
6.0,1.05798620094,1.39448478263,-0.392454423943,-0.404944825985,0.131608469843,-0.882896175728,-0.733266972241
6.5,1.16326939487,1.40008209858,-0.396887260857,-0.374700395224,0.270837903663,-0.944412607554,-0.776674198474
7.0,1.27515524061,1.40084181685,-0.399964317078,-0.363787750966,0.416869269897,-0.90941774971,-0.841409101382
7.5,1.39699481897,1.4018778151,-0.403002129804,-0.3872373435,0.561585819957,-0.812346520831,-0.900474851155
8.0,1.47989278538,1.408107475,-0.40443923588,-0.438379790425,0.694346378681,-0.70855692316,-0.970740785324
8.5,1.48026898703,1.44221013267,-0.405036762797,-0.482056136277,0.733880900117,-0.686439059246,-1.04654205606
9.0,1.44491116008,1.48489216512,-0.406840066137,-0.499928290367,0.692739100333,-0.722642177861,-1.25755593691
9.5,1.41233272149,1.49950631135,-0.408338408837,-0.528942814736,0.64840652683,-0.714703891312,-1.62576394896
10.0,1.38470829498,1.49021783893,-0.408204522764,-0.555866246872,0.594446472776,-0.679349121483,-1.92918747682
10.5,1.37229318201,1.46880382902,-0.406712672978,-0.539793230696,0.522449026636,-0.690062576534,-2.23958145045
11.0,1.37598147239,1.4666979983,-0.405423054876,-0.48327455825,0.457942405294,-0.700060498792,-2.54326514576
