time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,0.432102910219,-0.565967527802,-0.11782959066,0.413964655331,0.157574224275,0.404220381631,0.175293501566
0.5,0.498632100359,0.128152796725,-0.118959471935,-0.689457734896,1.08431944682,1.41185400093,-0.518132142794
1.0,-0.208249347406,-1.31935741617,-0.179945219492,1.95787539761,-1.35434813928,-0.723896545727,0.708614473409
1.5,-1.49327250953,-4.58934174462,-0.285266242598,7.77864940767,-6.59046772567,-5.55279377275,3.58707067987
2.0,-2.86853960304,-8.42659739408,-0.397963913804,14.5795201271,-12.6249817035,-11.2502269254,6.99398721892
2.5,-3.89495910738,-11.5951733653,-0.484785647178,20.206764106,-17.5232752633,-16.0075361386,9.81576553913
3.0,-4.33483781712,-13.3434741969,-0.527500253846,23.351803758,-20.1323595924,-18.7139481768,11.3711845499
3.5,-4.16767370416,-13.4964125573,-0.524124782639,23.7097809053,-20.2113231494,-19.096693584,11.4973305298
4.0,-3.52960027139,-12.3256548211,-0.484477675096,21.7532209428,-18.2167005261,-17.5367459168,10.4345243921
4.5,-2.6283391257,-10.3351470311,-0.42387754504,18.3588765522,-14.9598222342,-14.7589563825,8.63390046059
5.0,-1.66853274385,-8.05932800617,-0.357574927862,14.4568213933,-11.2887176135,-11.5385116075,6.57565429372
5.5,-0.804264891616,-5.92535339996,-0.297178239056,10.7908699246,-7.87371282692,-8.49911697194,4.64452459104
6.0,-0.121130443347,-4.19170346087,-0.249266559496,7.81177203259,-5.11445372141,-6.02173969864,3.07394615952
6.5,0.358650358801,-2.95010453561,-0.215720418024,5.68045343034,-3.14642186318,-4.24556554751,1.94729988471
7.0,0.658035520723,-2.16632168726,-0.195038901043,4.33882630344,-1.90768668371,-3.12600191363,1.23433981546
7.5,0.823299790654,-1.73501159354,-0.183945755438,3.60505884938,-1.22659951894,-2.51375543635,0.840463148486
8.0,0.905180836372,-1.5299736651,-0.178786446206,3.26087505641,-0.901200000933,-2.22776189771,0.651975958891
8.5,0.946363633202,-1.43956244501,-0.17646406328,3.11309265207,-0.754563166577,-2.10690135852,0.568075836126
9.0,1.0037227052,-1.31492996466,-0.172929684445,2.90539067578,-0.5512188325,-1.93743065182,0.454079903518
9.5,1.09874074141,-1.09626484192,-0.166643767883,2.5347393729,-0.197622229032,-1.63287924535,0.255703923343
10.0,1.1929388248,-0.875536356782,-0.160280304078,2.15877610468,0.158335357374,-1.32331346839,0.0559036983408
