1.057178,-0.372620,0.455700,0.679558,0.126662,0.713325,0.115433
1.054515,-0.352436,0.455565,0.695848,0.095544,0.703181,0.110472
1.058361,-0.339606,0.454096,0.696276,0.088327,0.704713,0.103815
1.057511,-0.339407,0.452728,0.701469,0.084131,0.698097,0.116292
1.051742,-0.339254,0.448384,0.710435,0.084505,0.691644,0.098843
1.052535,-0.336657,0.436139,0.717395,0.049998,0.692534,0.056931
1.046801,-0.336891,0.431793,0.720381,0.035957,0.691437,0.040904
1.043476,-0.335300,0.427937,0.718484,0.043786,0.692291,0.050953
1.030958,-0.341795,0.412212,0.709972,0.078845,0.695794,0.074790
1.028321,-0.342287,0.409579,0.711789,0.071994,0.694791,0.073742
1.033752,-0.344452,0.405021,0.721878,0.054322,0.687743,0.054330
1.030910,-0.345266,0.400223,0.727741,0.065257,0.679179,0.069641
1.014058,-0.348895,0.394374,0.738139,0.064728,0.669355,0.054084
0.992163,-0.349552,0.385602,0.747681,0.059245,0.659755,0.046759
0.988630,-0.348424,0.383504,0.753848,0.054985,0.653214,0.044736
0.977552,-0.346946,0.380436,0.752233,0.053755,0.654889,0.048749
1.013736,-0.334767,0.369948,0.765862,0.007413,0.641048,0.049575
1.011616,-0.334728,0.368969,0.767076,0.011167,0.638706,0.059370
1.012345,-0.334764,0.367341,0.773779,0.009756,0.631853,0.043957
0.979527,-0.343249,0.355455,0.765515,0.022114,0.642323,0.030318
0.980683,-0.342824,0.349961,0.777752,0.017160,0.627854,0.024639
0.979716,-0.340448,0.339842,0.785513,0.011769,0.618402,0.020253
0.973987,-0.339056,0.329274,0.790366,0.006795,0.612399,0.015561
0.961256,-0.336707,0.322335,0.794656,0.001759,0.606717,0.020321
0.957202,-0.332781,0.315593,0.800202,0.020920,0.598340,0.035052
0.962669,-0.326044,0.303758,0.800616,0.035617,0.597368,0.029941
0.970299,-0.305207,0.298427,0.798703,0.050946,0.598299,0.038941
0.996363,-0.296087,0.291582,0.798493,0.081049,0.596107,0.022266
0.999722,-0.275640,0.290433,0.796581,0.090949,0.597583,0.009007
1.007314,-0.261792,0.293696,0.787903,0.119824,0.604020,0.003401
1.011314,-0.253189,0.289914,0.787198,0.126865,0.603504,0.002679
1.012736,-0.244886,0.287079,0.783319,0.143181,0.604742,0.014050
1.015170,-0.235617,0.286664,0.781440,0.154730,0.604477,0.004272
1.016661,-0.235331,0.288688,0.766753,0.209346,0.605610,0.038732
1.020664,-0.236438,0.296935,0.740315,0.320808,0.580843,0.107875
1.033912,-0.236028,0.301071,0.705899,0.421002,0.545091,0.165349
1.040072,-0.230662,0.293327,0.660171,0.473634,0.531767,0.238893
1.039917,-0.227100,0.290247,0.616226,0.522455,0.516087,0.284537
1.000711,-0.245113,0.331861,0.601120,0.596000,0.465589,0.258195
